N,t,save_power,average_intersection
45,45*1,0,1
46,1*46,0.47826087,0.27221172
46,2*23,0.717391304,0.079867675
46,23*2,0.47826087,0.27221172
46,46*1,0,1
47,1*47,0.489361702,0.260751471
47,47*1,0,1
48,1*48,0.479166667,0.271267361
48,2*24,0.708333333,0.085069444
48,3*16,0.770833333,0.052517361
48,4*12,0.791666667,0.043402778
48,6*8,0.791666667,0.043402778
48,8*6,0.770833333,0.052517361
48,12*4,0.708333333,0.085069444
48,16*3,0.645833333,0.125434028
48,24*2,0.479166667,0.271267361
48,48*1,0,1
49,1*49,0.489795918,0.260308205
49,7*7,0.795918367,0.041649313
49,49*1,0,1
50,1*50,0.48,0.2704
50,2*25,0.72,0.0784
50,5*10,0.8,0.04
50,10*5,0.76,0.0576
50,25*2,0.48,0.2704
50,50*1,0,1
51,1*51,0.490196078,0.259900038
51,3*17,0.784313725,0.046520569
51,17*3,0.647058824,0.124567474
51,51*1,0,1
52,1*52,0.480769231,0.269600592
52,2*26,0.711538462,0.083210059
52,4*13,0.807692308,0.036982249
52,13*4,0.711538462,0.083210059
52,26*2,0.480769231,0.269600592
52,52*1,0,1
53,1*53,0.490566038,0.259522962
53,53*1,0,1
54,1*54,0.481481481,0.268861454
54,2*27,0.722222222,0.077160494
54,3*18,0.777777778,0.049382716
54,6*9,0.814814815,0.034293553
54,9*6,0.777777778,0.049382716
54,18*3,0.648148148,0.123799726
54,27*2,0.481481481,0.268861454
54,54*1,0,1
55,1*55,0.490909091,0.259173554
55,5*11,0.818181818,0.033057851
55,11*5,0.763636364,0.055867769
55,55*1,0,1
56,1*56,0.482142857,0.26817602
56,2*28,0.714285714,0.081632653
56,4*14,0.803571429,0.038584184
56,7*8,0.803571429,0.038584184
56,8*7,0.803571429,0.038584184
56,14*4,0.714285714,0.081632653
56,28*2,0.482142857,0.26817602
56,56*1,0,1
57,1*57,0.49122807,0.258848877
57,3*19,0.789473684,0.04432133
57,19*3,0.649122807,0.123114805
57,57*1,0,1
58,1*58,0.482758621,0.267538644
58,2*29,0.724137931,0.076099881
58,29*2,0.482758621,0.267538644
58,58*1,0,1
59,1*59,0.491525424,0.258546395
59,59*1,0,1
60,1*60,0.483333333,0.266944444
60,2*30,0.716666667,0.080277778
60,3*20,0.783333333,0.046944444
60,4*15,0.816666667,0.033611111
60,5*12,0.816666667,0.033611111
60,6*10,0.816666667,0.033611111
60,10*6,0.783333333,0.046944444
60,12*5,0.766666667,0.054444444
60,15*4,0.716666667,0.080277778
60,20*3,0.65,0.1225
60,30*2,0.483333333,0.266944444
60,60*1,0,1
61,1*61,0.491803279,0.258263908
61,61*1,0,1
62,1*62,0.483870968,0.266389178
62,2*31,0.725806452,0.075182102
62,31*2,0.483870968,0.266389178
62,62*1,0,1
63,1*63,0.492063492,0.257999496
63,3*21,0.793650794,0.042579995
63,7*9,0.825396825,0.030486269
63,9*7,0.80952381,0.036281179
63,21*3,0.650793651,0.121945074
63,63*1,0,1
64,1*64,0.484375,0.265869141
64,2*32,0.71875,0.079101563
64,4*16,0.8125,0.03515625
64,8*8,0.8125,0.03515625
64,16*4,0.71875,0.079101563
64,32*2,0.484375,0.265869141
64,64*1,0,1
65,1*65,0.492307692,0.257751479
65,5*13,0.830769231,0.028639053
65,13*5,0.769230769,0.053254438
65,65*1,0,1
66,1*66,0.484848485,0.265381084
66,2*33,0.727272727,0.074380165
66,3*22,0.787878788,0.044995409
66,6*11,0.833333333,0.027777778
66,11*6,0.787878788,0.044995409
66,22*3,0.651515152,0.12144169
66,33*2,0.484848485,0.265381084
66,66*1,0,1
67,1*67,0.492537313,0.257518378
67,67*1,0,1
68,1*68,0.485294118,0.264922145
68,2*34,0.720588235,0.078070934
68,4*17,0.823529412,0.031141869
68,17*4,0.720588235,0.078070934
68,34*2,0.485294118,0.264922145
68,68*1,0,1
69,1*69,0.492753623,0.257298887
69,3*23,0.797101449,0.041167822
69,23*3,0.652173913,0.120982987
69,69*1,0,1
70,1*70,0.485714286,0.264489796
70,2*35,0.728571429,0.073673469
70,5*14,0.828571429,0.029387755
70,7*10,0.828571429,0.029387755
70,10*7,0.814285714,0.034489796
70,14*5,0.771428571,0.052244898
70,35*2,0.485714286,0.264489796
70,70*1,0,1
71,1*71,0.492957746,0.257091847
71,71*1,0,1
72,1*72,0.486111111,0.26408179
72,2*36,0.722222222,0.077160494
72,3*24,0.791666667,0.043402778
72,4*18,0.819444444,0.032600309
72,6*12,0.833333333,0.027777778
72,8*9,0.833333333,0.027777778
72,9*8,0.819444444,0.032600309
72,12*6,0.791666667,0.043402778
72,18*4,0.722222222,0.077160494
72,24*3,0.652777778,0.120563272
72,36*2,0.486111111,0.26408179
72,72*1,0,1
73,1*73,0.493150685,0.256896228
73,73*1,0,1
74,1*74,0.486486486,0.263696129
74,2*37,0.72972973,0.073046019
74,37*2,0.486486486,0.263696129
74,74*1,0,1
75,1*75,0.493333333,0.256711111
75,3*25,0.8,0.04
75,5*15,0.84,0.0256
75,15*5,0.773333333,0.051377778
75,25*3,0.653333333,0.120177778
75,75*1,0,1
76,1*76,0.486842105,0.263331025
76,2*38,0.723684211,0.076350416
76,4*19,0.828947368,0.029259003
76,19*4,0.723684211,0.076350416
76,38*2,0.486842105,0.263331025
76,76*1,0,1
77,1*77,0.493506494,0.256535672
77,7*11,0.844155844,0.024287401
77,11*7,0.818181818,0.033057851
77,77*1,0,1
78,1*78,0.487179487,0.262984878
78,2*39,0.730769231,0.072485207
78,3*26,0.794871795,0.042077581
78,6*13,0.846153846,0.023668639
78,13*6,0.794871795,0.042077581
78,26*3,0.653846154,0.119822485
78,39*2,0.487179487,0.262984878
78,78*1,0,1
79,1*79,0.493670886,0.256369172
79,79*1,0,1
80,1*80,0.4875,0.26265625
80,2*40,0.725,0.075625
80,4*20,0.825,0.030625
80,5*16,0.8375,0.02640625
80,8*10,0.8375,0.02640625
80,10*8,0.825,0.030625
80,16*5,0.775,0.050625
80,20*4,0.725,0.075625
80,40*2,0.4875,0.26265625
80,80*1,0,1
81,1*81,0.49382716,0.256210943
81,3*27,0.802469136,0.039018442
81,9*9,0.839506173,0.025758269
81,27*3,0.654320988,0.11949398
81,81*1,0,1
82,1*82,0.487804878,0.262343843
82,2*41,0.731707317,0.071980964
82,41*2,0.487804878,0.262343843
82,82*1,0,1
83,1*83,0.493975904,0.256060386
83,83*1,0,1
84,1*84,0.488095238,0.262046485
84,2*42,0.726190476,0.074971655
84,3*28,0.797619048,0.04095805
84,4*21,0.833333333,0.027777778
84,6*14,0.845238095,0.023951247
84,7*12,0.845238095,0.023951247
84,12*7,0.821428571,0.031887755
84,14*6,0.797619048,0.04095805
84,21*4,0.726190476,0.074971655
84,28*3,0.654761905,0.119189342
84,42*2,0.488095238,0.262046485
84,84*1,0,1
85,1*85,0.494117647,0.255916955
85,5*17,0.847058824,0.023391003
85,17*5,0.776470588,0.049965398
85,85*1,0,1
86,1*86,0.488372093,0.261763115
86,2*43,0.73255814,0.071525149
86,43*2,0.488372093,0.261763115
86,86*1,0,1
87,1*87,0.494252874,0.255780156
87,3*29,0.804597701,0.038182058
